24,27.1,8.395,266.27,845,92.442,1704
20,27.2,8.494,266.19,845.1,92.876,1455
34,27.3,8.935,266.12,827.88,93.714,1542
60,26.1,8.741,266.17,969.15,99.672,1758
50,25.5,8.595,266.49,987.53,99.915,1663
59,25.2,8.736,267.21,950.99,97.385,1830
73,23.9,8.274,267.86,989.87,98.191,1550
28,22.6,3.976,270.22,988.88,94.424,2268
27,22.2,4.009,270.61,1000.4,94.878,2394
24,22.2,3.962,270.6,1012.8,94.924,1893
46,34.5,7.228,266.68,660.07,87.908,1975
39,34.4,7.365,266.69,663.31,87.964,2348
69,33.6,6.704,267.13,684.66,88.449,1394
55,33.5,6.842,267.17,689.47,88.548,1573
60,19,3.493,274.05,1097.1,98.276,2128
72,20.8,4.393,273.6,1018,96.574,1901
27,33.2,3.468,267.24,608.77,87.516,1423
28,33.4,3.467,267.19,606.41,87.602,1421
108,19.4,4.163,274.69,1060.1,98.418,1633
132,18.8,3.563,275.14,1105.4,100.06,1727
126,18.9,3.896,275.41,1086.4,100.1,1805
130,18.8,3.676,275.4,1098.4,100.4,1221
133,18.7,3.464,275.39,1110.3,100.71,1477
53,19.5,3.07,271.68,1072.6,81.081,707
159,18.7,3.408,275.51,1101.4,100.87,1378
162,18.7,3.33,275.47,1106.3,101.11,1162
96,20.3,4.034,273.78,1082.9,102.15,1211
102,20.3,3.97,273.68,1092.7,102.12,1291
75,28.4,7.534,269.72,1286.5,101.8,2480
75,28.1,7.611,269.58,1273.9,101.71,2028
129,28.9,0.995,272.31,425.07,84.144,883
168,18.8,3.635,275.44,1061.8,102.4,1757
171,19,3.895,275.3,1045.5,102.45,1972
112,29.2,0.957,272.38,340.6,84.649,1612
148,18.9,4.254,274.99,1107.7,102.7,1378
143,18.8,4.254,275.05,1144.5,102.73,899
179,18.8,4.341,274.97,1152.5,102.73,1027
248,18.9,4.522,274.81,1168.4,102.72,1534
167,18.7,4.264,275.1,1181.4,102.76,1253
169,18.8,4.39,275.02,1190.9,102.75,1114
185,18.8,4.518,274.95,1200.4,102.74,1265
248,18.1,2.84,275.84,1112.6,101.39,1767
229,18.7,4.228,275.11,1199.5,102.77,-117
203,17.9,2.955,275.87,1094.6,101.62,1261
201,17.6,2.971,276.04,1122,102.15,1520
189,19,4.506,274.82,1234.3,102.76,1079
83,34.3,8.165,272.01,1399.4,102.46,-2421
139,17.9,3.628,275.27,1139.3,102.76,1567
134,17.9,3.554,275.21,1132.8,102.75,1559
49,42.9,10.235,272.53,1247.2,102.2,665
55,22.6,4.429,274.64,1283.3,102.57,1875
55,22.9,4.489,274.64,1292.1,102.55,2238
52,35.8,6.183,272.9,1307.4,101.69,2706
38,40.5,8.9,272.71,1299,101.84,2146
84,40.8,10.407,272.72,1245.8,102.05,3262
55,41.8,11.116,272.66,1212,102.23,1410
48,38.4,9.162,273.02,1286.7,101.61,2571
92,26.2,4.463,273.95,1239.5,101.18,1765
75,32.9,6.559,273.83,1364.5,101.64,2768
84,34,6.466,274.49,1396.5,102.16,2284
56,32.6,6.336,274.44,1366.4,102.34,1843
115,33.8,6.427,274.53,1384.3,102.24,1573
39,54.7,2.287,281.89,1628.7,75.395,4701
90,51.1,2.613,287.91,1585.8,81.068,4372
115,51.6,2.36,288.26,1593,81.564,3593
101,52.1,2.139,288.61,1600.3,82.06,3916
95,52.7,1.963,288.95,1607.5,82.555,3791
278,72.7,0.767,294.2,1340.8,95.579,5753
210,76,2.754,291.95,945.21,97.7,6038
263,75.7,3.597,291.87,861.89,98.713,1363
232,76.5,4.039,291.45,806.47,99.14,6865
94,59,6.693,287.74,1585.3,79.019,4143
178,69.2,2.676,294.22,1225.2,98.185,6700
186,70.3,3.191,293.83,1126.1,98.683,4323
62,55.8,4.393,288.98,1526,80.733,3739
34,58.4,5.387,288.55,1560.5,79.801,2303
255,64.8,1.618,296,1369.6,99.634,2676
268,64.2,1.864,296.03,1374.4,100.09,3567
37,59.8,5.369,289.1,1590.8,80.434,2749
142,67.3,1.127,295.81,1344.9,98.331,6727
559,64.4,1.042,296.99,1499.3,98.963,4647
267,60.3,1.702,298.59,1784.9,97.926,6200
266,60.5,1.648,298.53,1791.2,97.914,5457
